2022.11.17 10:23:46 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable': success | time=56ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS': success | time=27ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS': success | time=50ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6407 'Create index for RULE_DESC_SECTIONS'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6407 'Create index for RULE_DESC_SECTIONS': success | time=27ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6408 'Drop column DESCRIPTIONS from RULES table'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6408 'Drop column DESCRIPTIONS from RULES table': success | time=55ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6409 'Drop column CREATED_AT from RULES_METADATA table'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6409 'Drop column CREATED_AT from RULES_METADATA table': success | time=42ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6410 'Drop column UPDATED_AT from RULES_METADATA table'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6410 'Drop column UPDATED_AT from RULES_METADATA table': success | time=32ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6411 'Overwrite plugin file hash to force reloading rules'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6411 'Overwrite plugin file hash to force reloading rules': success | time=17ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6412 'Add rules_metadata columns to rules table'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6412 'Add rules_metadata columns to rules table': success | time=373ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6413 'Populate rules metadata in rules table'...
2022.11.17 10:23:47 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6413 'Populate rules metadata in rules table': success | time=43ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6414 'Drop rules_metadata table'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6414 'Drop rules_metadata table': success | time=22ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6415 'Migrate hotspot rule descriptions'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6415 'Migrate hotspot rule descriptions': success | time=27ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6416 'Remove onboarded column from User table'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6416 'Remove onboarded column from User table': success | time=59ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6417 'Add column 'user_triggered' to 'audits''...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6417 'Add column 'user_triggered' to 'audits'': success | time=47ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6418 'Upsert value of 'user_triggered' in 'audits''...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6418 'Upsert value of 'user_triggered' in 'audits'': success | time=24ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6500 'remove root column from users table'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6500 'remove root column from users table': success | time=47ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6501 'Add columns 'context_key' and 'context_display_name' into rule_desc_sections'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6501 'Add columns 'context_key' and 'context_display_name' into rule_desc_sections': success | time=51ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6502 'Drop unique index uniq_rule_desc_sections_kee'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6502 'Drop unique index uniq_rule_desc_sections_kee': success | time=13ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6503 'Create unique uniq_rule_desc_sections'...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6503 'Create unique uniq_rule_desc_sections': success | time=24ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6504 'Add column 'expiration_date' to 'user_tokens''...
